TAESD32,AESD32,TAESD64,AESD64,TAESE32,AESE32,TAESE64,AESE64,TCRC32,CRC32,TCRC64,CRC64,TDIJK32,DIJK32,TDIJK64,DIJK64,TFFT32,FFT32,TFFT64,FFT64,TQSORT32,QSORT32,TQSORT64,QSORT64,TSSEARCH32,SSEARCH32,TSSEARCH64,SSEARCH64,TMXM32,MXM32,TMXM64,MXM64,TSUSANC32,SUSANC32,TSUSANC64,SUSANC64,TSUSANE32,SUSANE32,TSUSANE64,SUSANE64,TSUSANS32,SUSANS32,TSUSANS64,SUSANS64
50686671,0.46018,53950686,0.30273,53268000,0.44615,43666659,0.28169,42078990,0.32964,47760831,0.21484,64346937,0.42183,64382508,0.20719,82916001,0.2592,54621525,0.33461,43206240,0.56254,30156192,0.25287,16821576,0.40693,36543441,0.19253,39967776,0.53424,34564491,0.32124,6816606,0.39255,9886734,0.17275,8170308,0.62086,11839131,0.24373,41702739,0.35582,53389065,0.22268
50921640,0.48142,57093459,0.30144,53318000,0.46596,44837496,0.28104,46681677,0.30108,50768835,0.21372,66542820,0.4286,64749741,0.2129,84444051,0.26162,56655084,0.34755,46032882,0.55862,32320011,0.24437,20523966,0.35968,37893636,0.19172,40798434,0.56847,38418684,0.30603,7174821,0.38081,10671300,0.16926,8385738,0.62643,12525000,0.25921,43266360,0.34791,53922630,0.22349
51257310,0.48865,57390051,0.31027,54151500,0.47609,45773865,0.28235,47095503,0.30418,55818915,0.20201,67011255,0.45138,70550820,0.2087,87720090,0.26327,59234232,0.35543,47334480,0.57408,32889147,0.24575,20827071,0.40322,39089022,0.20566,58529325,0.40922,40185711,0.30393,7176324,0.39417,10757973,0.17117,10222404,0.53087,12685821,0.27102,43930686,0.35284,57106485,0.21991
54806895,0.46988,58669605,0.31324,54306500,0.48581,46515345,0.28441,49454712,0.30455,55879035,0.21323,69380484,0.4546,71659032,0.21312,89553750,0.26181,62911572,0.35106,48004317,0.60499,33440748,0.2481,22037487,0.40944,39777396,0.2086,63371991,0.39091,41771877,0.30231,7561593,0.38352,10762482,0.17835,10444347,0.54664,16669272,0.2209,44652126,0.35167,58145058,0.21951
56652579,0.4749,59423610,0.31749,54780000,0.49071,46562439,0.28999,49701204,0.30686,70417554,0.17997,69829380,0.46487,72475161,0.21939,92591313,0.26366,64967175,0.37151,49817436,0.60307,33497361,0.25223,24864630,0.39258,44124072,0.19379,63439125,0.40251,42087006,0.31013,9823608,0.3178,11691336,0.17214,11272500,0.53042,19432287,0.20581,44712747,0.35403,58947159,0.22236
56882538,0.49383,59548860,0.32449,55443500,0.50165,47496303,0.28975,53440668,0.29013,73081371,0.18098,71565345,0.46709,76381959,0.21393,92603838,0.26844,69370965,0.3679,50776350,0.6315,33532932,0.25836,24866634,0.41894,44528379,0.19381,70423566,0.37257,43032894,0.31597,10598154,0.32409,11802057,0.17466,11319093,0.55484,20277975,0.20521,45285390,0.3569,62474700,0.21601
57150072,0.50967,59787837,0.33459,56637500,0.50436,47600010,0.2985,54839961,0.28679,74100906,0.19112,73707120,0.4763,77834358,0.21685,92981091,0.27409,75934065,0.3602,53334957,0.63357,34267398,0.26058,24984369,0.44035,44556435,0.19495,74311827,0.37485,43476279,0.32123,11126709,0.32443,12071595,0.19083,11472900,0.56793,21533982,0.22736,46475766,0.35113,63123996,0.22749
67471674,0.44419,60864486,0.33849,58521500,0.50564,48173154,0.30099,57645561,0.2767,75048297,0.19477,74234172,0.48811,78829845,0.22545,93952530,0.27946,79237659,0.36096,54191667,0.64223,35418696,0.25989,25322043,0.45761,44658639,0.19549,75526752,0.38694,44432688,0.32642,11165286,0.3379,12170793,0.19783,11588631,0.58513,21714342,0.2442,46656627,0.3555,64651545,0.22783
67548828,0.46582,62115483,0.34234,63057000,0.48929,48619044,0.3058,61021299,0.26706,77186064,0.19805,74275254,0.50719,82108389,0.22749,95147415,0.28123,85691040,0.34689,58507782,0.61428,36680715,0.25755,25907211,0.46684,44895111,0.19612,75656010,0.39749,44459241,0.33069,11220897,0.35469,12354660,0.20469,11938830,0.60629,22506423,0.25918,47571954,0.35109,66386007,0.22665
71620455,0.44824,63142533,0.34695,63816500,0.49747,48644094,0.31199,70161543,0.23731,79865913,0.1976,80511201,0.48953,84369903,0.22939,99801204,0.27806,101708010,0.30617,58593453,0.63134,37874097,0.25576,26284464,0.47265,45718755,0.19405,77797785,0.40815,47287386,0.32716,11358171,0.35734,13175298,0.20063,12091635,0.63203,23605116,0.26852,47779368,0.35504,67094421,0.24189
