TAESDHPI,AESDHPI,TAESEHPI,AESEHPI,TCRCHPI,CRCHPI,TDIJKHPI,DIJKHPI,TFFTHPI,FFTHPI,TMXMHPI,MXMHPI,TQSORTHPI,QSORTHPI,TSSEARCHHPI,SSEARCHHPI,TSUSANCHPI,SUSANCHPI,TSUSANEHPI,SUSANEHPI,TSUSANSHPI,SUSANSHPI
36970293,0.25893,2302095,0.7,9450363,0.60229,20246913,0.37807,4318620,0.5,30405189,0.15105,7493958,0.48946,7254981,0.14558,217434,0.45,1107711,0.61327,7567605,0.48162
42922173,0.35908,10027014,0.96432,11028012,0.84553,34573008,0.36307,18632691,0.50876,31938750,0.28589,8268504,0.48946,7425321,0.3192,270540,0.7,1162821,0.7,9507477,0.65158
43994313,0.40664,20414748,0.62725,38572491,0.27845,34993347,0.44013,26619633,0.42738,36199254,0.3202,31675725,0.48946,7973415,0.49624,1338672,0.6,1341678,0.5,14756454,0.52443
46313442,0.41518,39305955,0.39103,39376596,0.28615,41501838,0.42068,45744306,0.29791,40892121,0.31525,31730334,0.57561,8875215,0.5128,2955900,0.61951,1361217,0.65834,26882658,0.34293
47425161,0.45875,39727797,0.46113,39893127,0.33224,48105519,0.404,53548884,0.28088,41075487,0.33925,33134637,0.58615,9100164,0.55852,7271013,0.30122,1482960,0.75,27590571,0.38133
47836983,0.48639,43863051,0.45593,44323971,0.317,58644054,0.36092,63329406,0.2684,41490816,0.37156,38378604,0.56141,9844650,0.57004,7386744,0.31765,5060100,0.73204,37300452,0.39043
52168629,0.48095,47572455,0.4417,48792390,0.31391,59424612,0.39593,75491181,0.24411,43338504,0.3853,64150545,0.35638,12189330,0.48501,7389750,0.34457,5205891,0.75899,39796434,0.42193
54116517,0.49959,48907119,0.44266,51119535,0.31657,62344440,0.42076,82553277,0.24037,44826474,0.40736,66112461,0.37062,13728903,0.4873,7508988,0.38459,7487445,0.56897,44340003,0.42387
55859496,0.5039,63126501,0.35691,53695176,0.33236,62504760,0.46305,91931496,0.22945,45498816,0.41475,66920574,0.41216,14913267,0.48099,7747464,0.38493,8124216,0.5658,58054377,0.34728
61178613,0.48495,64268280,0.36828,63853953,0.2865,78105900,0.39763,107159391,0.22338,55324428,0.35447,71519754,0.40836,15024489,0.51188,8272011,0.37875,8330628,0.5798,59462688,0.35596
61856967,0.50745,65900037,0.37361,66973680,0.28013,80702583,0.41765,111033123,0.22699,56186148,0.36079,83698563,0.36557,15830598,0.55758,8347161,0.39802,10922802,0.50007,60039339,0.36219
62477706,0.5226,67805841,0.38228,71100417,0.27707,81687549,0.43672,113704455,0.23434,56890053,0.38184,85254669,0.38281,16332099,0.63,8654775,0.39846,11889732,0.48693,61274805,0.37989
62992734,0.57232,72013239,0.37547,71360436,0.28556,90325791,0.42224,114860763,0.24778,57490752,0.39151,87443538,0.40337,17518467,0.61447,9962385,0.35774,15518475,0.40031,61352460,0.39008
63309366,0.58356,73442091,0.38055,71917047,0.29501,100416933,0.39991,117011556,0.25253,60628515,0.39285,96601818,0.38973,18374175,0.67495,12265983,0.29542,15835107,0.42807,62255763,0.39994
63751248,0.59598,73822851,0.39312,75437574,0.29605,102871833,0.418,118726479,0.25887,60746250,0.40854,102857304,0.38093,20210841,0.66324,13695336,0.27694,15946830,0.43328,63013275,0.41194
64175595,0.61063,74356917,0.40617,77353899,0.30614,104544171,0.42534,121042101,0.26465,63976698,0.40226,104178441,0.40158,21986886,0.69184,13729905,0.28933,15957351,0.44208,65797332,0.40107
65171583,0.61662,78061311,0.40653,78457602,0.31547,112102758,0.41789,122651313,0.2705,64735713,0.42646,106827228,0.41147,23046501,0.68557,14753949,0.27704,16438812,0.45601,66499734,0.4121
66270276,0.63165,79176036,0.41051,82351875,0.3101,113111772,0.42447,125560620,0.27546,65796831,0.43302,107669409,0.4162,30421221,0.55799,14907756,0.27899,16469373,0.49703,66660054,0.41771
71738190,0.60235,81824322,0.41073,82731132,0.32255,113358264,0.44103,129788058,0.27634,66383001,0.44496,116875284,0.39339,34298460,0.51127,14935311,0.29737,17113659,0.49852,68855436,0.4119
72888987,0.60375,81998670,0.42429,85122405,0.32565,122385783,0.42473,131202381,0.28174,68812350,0.44031,123749505,0.3839,36785424,0.5055,15358155,0.2988,17629689,0.49889,69289302,0.41878
76008213,0.58825,83089848,0.42846,89711565,0.31552,122604219,0.4406,132340152,0.29082,71194104,0.44017,129340665,0.37814,36903660,0.51351,15584106,0.31146,17629689,0.51226,69313851,0.4248
76177551,0.6088,83741148,0.43936,90152946,0.32185,124002009,0.45473,133307583,0.30172,73623954,0.43332,130373727,0.38527,37076505,0.52652,15588615,0.332,19335093,0.47603,72520251,0.42593
80767212,0.58786,84971604,0.4461,91287210,0.32722,127481955,0.46323,135810579,0.30724,76150497,0.44166,133887240,0.39201,38887620,0.5085,15650238,0.34299,25700799,0.37747,79869921,0.39985
83587341,0.57692,85839837,0.45097,97814238,0.31862,136797549,0.44095,136549053,0.31163,78787260,0.43951,135871200,0.4029,39113070,0.51396,15924786,0.35675,27165723,0.37416,80750178,0.41093
84685533,0.58085,89734611,0.44039,104014614,0.30718,151878651,0.4175,136781517,0.31758,78800286,0.44767,137434821,0.41535,40272384,0.50259,16066569,0.35878,27321033,0.39173,81140958,0.42149
99054213,0.50633,95466051,0.42368,104687958,0.31508,152116626,0.43168,137213880,0.33037,86914983,0.41636,140738415,0.42769,40322985,0.50937,16090617,0.36366,29023431,0.38903,83409987,0.41831
99239583,0.51783,95623365,0.43103,105205491,0.31907,153529947,0.43596,140660760,0.3322,87669990,0.41667,141304545,0.43752,40952241,0.50457,16103142,0.37244,29798478,0.39482,90077295,0.39435
101005107,0.51649,100151904,0.42078,107983035,0.31322,153975837,0.44519,155172726,0.31324,90106854,0.41739,145887693,0.44235,41108553,0.50614,16119174,0.38065,32644158,0.37845,98329767,0.3735
102561213,0.52023,104884851,0.41057,109853769,0.3125,157501875,0.44283,156930735,0.31869,99032670,0.38727,145996911,0.45473,41997828,0.49971,16168272,0.39262,33940746,0.37925,98819745,0.37813
103121331,0.52415,104926434,0.4202,109930422,0.32093,159515394,0.45228,158783934,0.32458,100485069,0.39308,147382176,0.46254,42332997,0.50313,16595625,0.3851,35020401,0.39616,101900394,0.37624
104179443,0.53252,105918414,0.42233,112312176,0.31797,169723770,0.4349,164777898,0.31871,110276613,0.37203,154235355,0.45336,42503838,0.50681,16619172,0.40724,37684218,0.38048,103405899,0.38273
105944466,0.53537,108077724,0.42315,112996041,0.32654,170528376,0.43965,166597530,0.32683,110918895,0.37813,157161195,0.45772,43231791,0.50284,16674783,0.41363,37734819,0.39536,105650379,0.38604
109127319,0.52572,108080730,0.4331,116639313,0.32034,170559438,0.44977,170191704,0.33581,113482512,0.3776,163531410,0.44568,43693713,0.50293,16685304,0.4203,38168184,0.40409,107224521,0.4007
110046153,0.52803,108226521,0.44204,118672371,0.3213,171007332,0.46097,170893605,0.35065,115498536,0.37897,165513867,0.45128,44036397,0.50221,16962858,0.41538,38367081,0.4127,107824218,0.41143
111181419,0.52969,108319707,0.45403,123437382,0.31374,173447202,0.47264,175127556,0.35716,115902843,0.38427,167796924,0.45686,44970261,0.50016,16965363,0.42116,39827997,0.42114,109576215,0.41021
111491037,0.53949,109061688,0.45882,129126738,0.31052,184040847,0.45334,175354509,0.36242,116533602,0.3908,171670656,0.45658,45010341,0.50416,17409249,0.41453,39943728,0.42428,112624299,0.40619
118028586,0.52532,109085736,0.46898,130615710,0.31082,185518797,0.45696,176312922,0.36467,119116257,0.39903,172124562,0.46631,45144609,0.50967,17836101,0.40621,40134108,0.42965,114593730,0.40699
129095175,0.48998,111912879,0.46446,132381234,0.31016,187341435,0.4597,214554753,0.30995,121294605,0.40149,174617037,0.47404,45174669,0.51427,18303033,0.40181,41105547,0.42452,115289118,0.41065
129218922,0.49558,114968478,0.45973,133136742,0.31358,195360441,0.45037,228524136,0.29543,124298601,0.39862,175940679,0.48504,45268857,0.5182,18362151,0.41246,41287410,0.42761,123334677,0.3921
129331647,0.50364,116396328,0.46126,136936326,0.31359,196898511,0.45702,234961986,0.29081,126385767,0.39676,178496280,0.48528,45467253,0.52022,18369666,0.41943,41979792,0.42357,123507021,0.4033
130625730,0.50829,121428372,0.44897,139071087,0.31943,198334377,0.46285,239003553,0.29085,128836659,0.39408,182440152,0.48303,45722262,0.52347,20096112,0.38638,42483297,0.4275,128868723,0.39675
131805084,0.51552,125984466,0.43983,139432308,0.32505,200141484,0.47757,239462970,0.29564,130067115,0.3993,186123003,0.48641,46428171,0.51879,20779977,0.38752,42495822,0.43336,129155295,0.40197
132635241,0.51804,125994486,0.44579,140380200,0.32844,200836872,0.49762,242208450,0.29912,130717914,0.40521,194411547,0.47459,47646102,0.50908,20868153,0.40009,42819468,0.43371,129243972,0.41783
133973913,0.52246,130377234,0.44121,140488917,0.33818,201617430,0.50388,245808135,0.2977,139206357,0.38683,198747201,0.47545,47731773,0.51441,20947311,0.4074,43141110,0.43185,131225928,0.42267
135758976,0.52537,131756988,0.44216,140986911,0.34414,205447575,0.50614,254727939,0.2934,142026987,0.3892,213117384,0.44783,47988786,0.51516,21203322,0.40527,44454732,0.42355,134470404,0.41836
138503955,0.5245,134990943,0.43892,141648231,0.34949,207191055,0.51089,258328125,0.29371,150824046,0.37425,214250646,0.45248,48060429,0.51906,22034481,0.39864,45138096,0.42023,135206373,0.42121
143180289,0.51614,138561069,0.43234,142262457,0.35413,210556773,0.51226,262960371,0.2961,154100085,0.37302,214813269,0.46194,48324456,0.52162,23650707,0.38441,45274368,0.42292,135295050,0.42486
143575578,0.52095,138631710,0.43635,149447298,0.34591,218341311,0.50671,267484401,0.29345,155541462,0.37269,217249632,0.46278,48515337,0.52311,23811528,0.39435,46277871,0.41733,137192838,0.42318
144274473,0.5249,140694828,0.4392,149591586,0.35035,225543687,0.49665,285692745,0.27926,158622111,0.37399,218166963,0.47107,48967239,0.52387,24791484,0.39084,46381578,0.41902,137687826,0.42605
147663237,0.51923,142662756,0.44145,149597598,0.35424,227561715,0.50849,289464774,0.28307,159049965,0.37848,222435483,0.47052,49242789,0.52623,24874149,0.4064,46611537,0.41893,141286008,0.42366
147976863,0.52345,143166762,0.44857,152181255,0.35127,235595751,0.49609,303816921,0.27244,164251347,0.37366,227176446,0.46885,49852506,0.5285,27417726,0.37894,46661637,0.42001,141338613,0.43001
151538973,0.52021,144746916,0.4502,152256906,0.3562,236742039,0.50739,309600465,0.27365,167220774,0.37215,231172923,0.46783,51459213,0.51563,27484359,0.38264,47950209,0.4111,143199327,0.43364
154815012,0.51505,146592099,0.45234,163237323,0.33791,239626296,0.51065,311768793,0.27889,169597518,0.37047,244680384,0.44631,52315923,0.51207,27490872,0.39273,48198204,0.41094,145278978,0.43367
155816511,0.51939,148679766,0.45159,166087512,0.33541,240923886,0.51521,326363424,0.26901,170579979,0.37276,245268057,0.45132,54337458,0.49652,28477341,0.38902,48230268,0.41367,146380176,0.43946
156650676,0.52397,150798495,0.45037,167541414,0.33616,243119268,0.51857,326733162,0.27616,173051913,0.3722,245544609,0.45825,54365514,0.50086,28956297,0.39,49467738,0.40686,147271455,0.4417
161485326,0.51333,152880651,0.44982,174204213,0.32457,244557138,0.52468,327998688,0.27739,177187167,0.37535,246896307,0.46286,54676635,0.50076,29216817,0.39823,50326452,0.40234,147565542,0.44372
162023901,0.51618,153967821,0.45538,176657109,0.32509,245798616,0.52774,332436045,0.27927,177471234,0.38027,255298077,0.45518,54761805,0.50367,29476335,0.40498,50763825,0.40054,148106121,0.4496
162513879,0.51918,166042923,0.42964,179503290,0.32406,248441892,0.52695,336341340,0.28339,180827934,0.37956,258381732,0.46149,54945171,0.50578,29481345,0.41557,51227751,0.40051,149366637,0.45265
162969789,0.52453,168862050,0.43034,179710203,0.32626,253953894,0.52412,341739615,0.28466,181825425,0.38649,258682332,0.47131,55606491,0.50295,29795472,0.41925,51438672,0.40032,153902691,0.444
165186213,0.5244,170331483,0.43148,182148069,0.32666,258075120,0.52129,342377889,0.28839,181898571,0.39356,261991437,0.47487,55957692,0.50338,30549978,0.41905,51815424,0.39996,156909693,0.43967
165380601,0.53247,172356525,0.43195,184074915,0.32838,266005950,0.51372,343276182,0.29294,187494741,0.38717,262806564,0.4817,55991259,0.50864,31484343,0.41298,52008810,0.40015,166096029,0.42014
166049436,0.535,172745802,0.43431,184918098,0.33218,273095100,0.50636,353020632,0.28865,190161564,0.38582,264281508,0.4866,56317911,0.50997,32780931,0.40231,52163619,0.40107,166096029,0.42576
166576989,0.54187,176680155,0.43036,191296830,0.32464,281867109,0.49419,354855795,0.29033,192038811,0.388,267631194,0.48865,56935143,0.50993,34225314,0.3917,52548888,0.40005,166378092,0.42875
167721774,0.54354,183095460,0.42122,191671578,0.33175,282351576,0.50213,356882841,0.29076,192943116,0.39282,271367151,0.48793,57227226,0.51166,35123607,0.38843,52597485,0.40319,167225784,0.43042
170383086,0.54109,186570897,0.41845,195091404,0.33049,288826500,0.49802,357304683,0.29478,196079877,0.39033,274745394,0.48867,57660090,0.51161,36144645,0.38525,53555898,0.39863,167362056,0.43523
171502320,0.5422,190489218,0.41246,195314850,0.3336,290546934,0.50358,358100772,0.29973,197200113,0.39206,277312518,0.49125,57710691,0.51822,36409674,0.38546,53776338,0.39894,174493290,0.42388
171522861,0.547,190618476,0.41769,200355411,0.33157,299214735,0.49737,362130315,0.30123,197342898,0.39955,278847582,0.49398,58486740,0.51294,36728811,0.39514,53880045,0.4003,174852507,0.42882
171711738,0.55372,192077889,0.42119,200889978,0.33489,304171629,0.49638,367742517,0.29933,199303812,0.39995,280019922,0.50246,58505277,0.51754,37243839,0.39549,54388560,0.39926,175605009,0.4306
176908110,0.54419,192128991,0.4273,215274690,0.31489,310325412,0.49164,371959434,0.29832,199565334,0.40297,285095052,0.49741,58727220,0.51817,37259370,0.40629,54476235,0.39994,181710195,0.42389
178309407,0.54522,192418068,0.43131,218544717,0.31309,311617992,0.49262,372530073,0.30021,200940579,0.40283,289453251,0.49439,59019804,0.51888,37281414,0.41168,54660102,0.40347,183113997,0.42771
178899084,0.54866,194105937,0.43508,219510144,0.31426,312619491,0.49588,373329168,0.30425,200953605,0.40943,290919177,0.49824,59227218,0.52179,37633116,0.42131,54861003,0.40318,183857982,0.43165
185764287,0.53363,199903509,0.42864,221375868,0.3148,315121485,0.49899,374128764,0.30629,201577350,0.4101,291573483,0.5041,59452668,0.52431,37751853,0.4278,55157595,0.40392,184564392,0.43707
186628512,0.53765,200408517,0.43313,223965036,0.31708,327590874,0.48288,377118231,0.30697,206006691,0.40551,291910656,0.50846,59561385,0.52686,38255358,0.43398,55563405,0.40206,185777313,0.43719
186678111,0.54219,204264714,0.42837,226507611,0.31681,331133445,0.48774,385216896,0.30351,206116911,0.41042,298158126,0.50198,59896053,0.52545,38258364,0.43771,55675629,0.40271,186456168,0.43965
187180614,0.54552,204385956,0.43283,230858796,0.31428,337377408,0.48632,386919294,0.30674,206193564,0.42272,301305408,0.5033,60091443,0.52693,39394131,0.42952,56135547,0.40039,186953661,0.44358
190567875,0.54355,204638460,0.43802,233580729,0.31436,342560754,0.48386,388798545,0.30948,212820291,0.41258,305977734,0.50286,60327915,0.52779,39612066,0.43014,56563401,0.39876,191344926,0.43881
190904547,0.54728,206649975,0.43823,236528112,0.31174,345484089,0.49131,393191313,0.31035,214664973,0.41496,307355484,0.50577,60745749,0.52491,39696234,0.43154,56595966,0.39919,191638011,0.44409
191128494,0.55209,208239147,0.44215,239293131,0.31102,347252118,0.49616,406143165,0.30274,215806251,0.41744,309720705,0.50901,61024806,0.52607,39924690,0.43444,57057888,0.39759,192957645,0.44686
193829385,0.55045,210688035,0.44153,243297624,0.31102,348437985,0.49933,420378579,0.29559,215913966,0.42122,310511283,0.51519,61551357,0.52745,40717773,0.43067,57323418,0.39871,193498725,0.45221
194396016,0.55509,210879417,0.44578,243645819,0.31476,348515139,0.50538,426062424,0.29564,221190498,0.4185,315531804,0.51119,61929612,0.53021,40919676,0.43203,57609489,0.40195,193651029,0.45744
194517258,0.55897,212429010,0.44885,243669867,0.32077,350144892,0.50847,432924120,0.29325,222653919,0.41858,317037810,0.51463,62158068,0.53197,41232801,0.4315,58150569,0.40014,195034290,0.4587
195673065,0.5606,212727105,0.45551,246864243,0.31913,351480057,0.51721,437645043,0.29203,225817233,0.41995,336496149,0.49003,62559369,0.53093,41303943,0.43407,59590944,0.39233,195272766,0.46409
196771758,0.56454,213325800,0.4594,248439888,0.31825,352562718,0.51979,447698109,0.28814,226967529,0.42104,336636429,0.49876,63096942,0.52995,41338512,0.43732,59938137,0.39097,196710636,0.46392
198244197,0.56525,215707554,0.46001,252567126,0.31438,360033630,0.51424,447874461,0.29239,230509098,0.42157,338902953,0.50269,63141531,0.5337,41365566,0.43866,60101463,0.39243,200920038,0.4625
199370445,0.56852,218281191,0.45984,256047573,0.31453,362055165,0.51893,452945583,0.29329,232071216,0.42159,341647431,0.50289,63659565,0.53444,41629593,0.43728,60352464,0.39273,204617418,0.46075
200042286,0.57569,220455030,0.4588,257431836,0.31394,363685419,0.52392,458030232,0.29323,238293636,0.41455,342192018,0.50828,66165567,0.51544,41990313,0.43495,62166585,0.38283,207070815,0.45994
203299287,0.57182,220589298,0.46315,259666797,0.31345,365057658,0.52739,461513184,0.29375,246161340,0.40895,344453532,0.50968,66185106,0.51779,42084501,0.43591,62338428,0.38359,207807285,0.46401
208333335,0.56533,221307732,0.46476,262075104,0.31477,365800140,0.53388,462774201,0.29545,247963938,0.4086,347795703,0.50939,66577389,0.51807,42186204,0.43601,63328905,0.37897,209656977,0.46502
212360874,0.55946,222045705,0.46692,263664276,0.31573,366345228,0.53876,469137903,0.2927,249273552,0.41226,348153918,0.51256,66757749,0.52065,42206244,0.44001,63730206,0.37927,210215091,0.46967
214520685,0.55953,223722051,0.46805,264471387,0.31725,366838713,0.54261,477365325,0.29137,250050603,0.4126,352209012,0.5131,67209651,0.52066,42206244,0.4389,63885516,0.38133,211083825,0.47147
214733610,0.567,225451503,0.46719,267970371,0.31623,368021574,0.54695,477804201,0.29522,252619731,0.41412,352410414,0.51825,68153535,0.51835,42430692,0.43854,64349943,0.38018,211122903,0.4771
220022667,0.55826,228349788,0.46573,271342602,0.31541,379111710,0.53624,493973475,0.29104,252870231,0.4191,353071233,0.52302,68508243,0.51831,42447726,0.439,64689120,0.37969,211543743,0.48139
223110330,0.55462,228381351,0.46848,274257921,0.31847,382176327,0.53687,494290107,0.29415,253428345,0.4247,359327220,0.52047,68654034,0.5211,42775380,0.43691,65084910,0.37839,212218089,0.4829
224732568,0.55902,228841770,0.47109,274332069,0.32132,382949871,0.54003,503965419,0.29156,258345159,0.42186,364754553,0.51692,68924073,0.52057,43086501,0.43463,65521782,0.37823,214113873,0.48288
224896395,0.56363,229394874,0.4737,279642168,0.3166,385560582,0.5439,508459890,0.29531,259773510,0.42214,364994532,0.52124,69315354,0.52194,43243314,0.43406,65749737,0.378,218505138,0.48006
227462517,0.55981,235185933,0.4659,281159697,0.3178,403017927,0.52497,517216368,0.29256,261323103,0.42285,365103750,0.52637,69738699,0.52139,43265859,0.43473,66745725,0.37649,218718564,0.48751
230851782,0.5543,236067693,0.46748,281601579,0.32037,405303489,0.52576,519363153,0.29326,263715378,0.42213,368412855,0.52512,70202124,0.52031,43383093,0.43505,66882999,0.37733,221939994,0.48438
231829233,0.55859,237080214,0.46856,285759879,0.31711,405634650,0.5288,520233891,0.29598,267455343,0.41993,380378739,0.51582,70283787,0.52266,43571469,0.43518,67027788,0.37785,223749606,0.48494
232319211,0.56353,237200454,0.47374,288681210,0.31701,413616582,0.52331,522194805,0.29786,269360145,0.42011,385173810,0.51324,70324368,0.52433,43658643,0.4359,67617465,0.37619,224166939,0.48886
233804676,0.56624,240229500,0.47257,291958251,0.31583,417253842,0.52313,540543429,0.29167,271404726,0.42206,386182323,0.5147,70652523,0.52384,43909143,0.43427,67647024,0.37716,224922948,0.49122
234879822,0.56651,241206450,0.47437,296108034,0.3139,424125558,0.51901,548601012,0.29086,272246406,0.42363,394701828,0.50868,70967151,0.52495,44101527,0.43378,67657545,0.38089,226843281,0.49242
239264073,0.56028,241867269,0.47744,296947209,0.31608,425846493,0.52226,554482752,0.29035,272252919,0.42642,399274455,0.50874,71317350,0.52479,44114553,0.43467,67929588,0.38182,228624837,0.49444
243578685,0.55795,243162354,0.47873,297622557,0.31853,427470234,0.52361,555210204,0.29222,272514441,0.42923,402127149,0.51104,71416548,0.52713,44166657,0.43621,68193615,0.38239,229208502,0.49775
246516048,0.55464,243820668,0.4802,298822953,0.31949,431673624,0.52314,555484752,0.29604,273194298,0.43143,407758389,0.50992,71418051,0.53243,44264352,0.43635,68534295,0.38167,230732544,0.49878
248992491,0.5529,244246518,0.48289,300684168,0.32033,438323397,0.52091,572203623,0.28884,273601611,0.4329,408411192,0.51361,71516748,0.53417,44454231,0.43598,70735188,0.37167,232145865,0.50132
248993493,0.55955,246586689,0.48207,310954668,0.31068,438602454,0.52471,573247206,0.29071,274565034,0.43712,412547448,0.51414,71795805,0.53368,45052425,0.43179,70811340,0.37228,232708989,0.50421
250949397,0.55859,247161837,0.48542,315232707,0.30973,438919086,0.52955,578684058,0.2903,275812023,0.4382,413376603,0.51868,71922558,0.53542,45069960,0.43327,71002221,0.37224,233148366,0.50732
252727446,0.55731,247734981,0.48839,318705639,0.30809,441817371,0.53176,579531750,0.29236,277602096,0.4375,414770886,0.52139,72165042,0.53822,45109038,0.43456,71592900,0.37237,233989044,0.51238
253304097,0.55934,251414325,0.48428,320479680,0.31098,447272259,0.52908,584244156,0.2937,280513407,0.43817,416225289,0.52361,72547806,0.53758,45189699,0.4342,72041796,0.37158,238737021,0.50572
255864207,0.55638,259169805,0.47408,320930580,0.31227,458353878,0.52317,593533197,0.29045,281979834,0.43865,419597520,0.5249,72842394,0.53873,45576471,0.4317,72417546,0.3725,239722989,0.51001
257489451,0.55685,259263492,0.47936,321728673,0.31503,459559284,0.52846,593666463,0.29261,282883137,0.43909,419807940,0.52815,73015239,0.54129,45672663,0.43205,72515241,0.37317,240550140,0.51623
258789546,0.55761,259847658,0.48177,322757226,0.31614,461324307,0.53085,596928975,0.29402,283193256,0.44214,424318443,0.52773,73068846,0.54385,46073463,0.42874,72799308,0.3732,241344726,0.52164
259530525,0.56092,261603162,0.48154,323279769,0.31762,462318291,0.53196,597127371,0.29684,283483335,0.44692,425297397,0.53161,73325859,0.54432,46309935,0.42753,72937083,0.3747,242551635,0.52406
262531515,0.55815,261981918,0.48633,323630970,0.32027,476868333,0.52175,611297154,0.29127,284289945,0.44888,426292383,0.53503,73794795,0.54385,46516347,0.42662,73055319,0.37628,243832692,0.52286
264868680,0.55747,263674797,0.48774,325161525,0.32044,482286648,0.51871,612423402,0.2931,285650661,0.45214,428547885,0.53642,74511726,0.54319,46598511,0.42805,73238184,0.37606,245067657,0.5262
265536513,0.56218,263749446,0.49089,327176547,0.32049,482698971,0.52363,622760034,0.29064,285926712,0.45659,429311910,0.53937,75258717,0.54055,46899612,0.42568,73632471,0.37473,245351724,0.53033
267452337,0.56427,264616176,0.49178,336436530,0.31429,495856233,0.51471,626428857,0.29161,289240326,0.4563,429874533,0.54229,75267234,0.54283,46943700,0.42716,73700607,0.37715,246632280,0.53155
271620156,0.55932,265487916,0.4946,336875406,0.31729,496538094,0.51643,628984959,0.2917,291002844,0.45643,430259301,0.54758,75710619,0.54141,46981776,0.42752,74032770,0.37648,249057120,0.53066
273123657,0.56015,265964367,0.50051,347436486,0.30893,498689388,0.51731,654885657,0.28223,303995778,0.44328,431484246,0.55091,75857913,0.54363,47006826,0.42793,74193090,0.37618,249729963,0.53366
274301508,0.56147,269754933,0.49715,351537171,0.30877,500001507,0.51824,661424709,0.28183,308570910,0.43998,433494258,0.55351,76478151,0.54244,47210733,0.42724,75071343,0.37311,252383259,0.53387
276168735,0.56142,270504429,0.49988,356617812,0.30616,500631765,0.52516,661762383,0.28355,311900556,0.43786,434559384,0.55586,76617429,0.54411,47292396,0.42811,75191583,0.37334,252502998,0.53647
277656204,0.56258,273221352,0.49876,359773611,0.30752,502207911,0.52962,661991841,0.28574,311956167,0.43999,438286323,0.55428,76787268,0.5453,47308428,0.42873,75234669,0.37488,255103188,0.53542
280419219,0.56075,273385179,0.50196,360654870,0.30896,517836606,0.51709,674074458,0.28327,315087417,0.43757,447394503,0.54489,77461614,0.54411,47440191,0.42804,75416532,0.37498,257470413,0.53395
280726833,0.56307,273389187,0.50465,361469997,0.31215,526908213,0.51205,678124542,0.28295,317138511,0.43827,456521220,0.53818,77597886,0.54596,47526864,0.42835,76411017,0.37127,257894760,0.53816
281102082,0.5663,273641691,0.50737,363485520,0.31194,530078541,0.51362,678805902,0.28421,320582886,0.43644,460238640,0.54059,78008706,0.54711,47784378,0.42712,76554804,0.37157,263405760,0.53144
281278935,0.57326,274004415,0.50939,364690926,0.3158,537760875,0.50953,679260810,0.28568,320893506,0.43756,473797704,0.5297,78084858,0.54836,47860530,0.42749,76791777,0.37202,264250446,0.53321
282512898,0.57301,276290979,0.50805,369513552,0.31387,545146617,0.50521,687878010,0.28417,321122463,0.44109,474889383,0.53301,78301290,0.54941,47873556,0.42785,77041776,0.37184,269117661,0.52692
285632625,0.57068,278116122,0.50828,372075165,0.31329,545767857,0.51012,689747742,0.28548,322583379,0.44238,478111314,0.53454,78611910,0.54888,47900109,0.42852,77058810,0.37298,270975870,0.52705
286702761,0.57328,280520922,0.50746,373492995,0.31447,545930181,0.51354,695335896,0.28493,323438586,0.44567,478518126,0.53759,79674030,0.54374,47901612,0.42981,77170533,0.37384,271062543,0.53066
288371091,0.5749,282639150,0.50591,374666337,0.3167,557689653,0.50493,697140999,0.28674,324718140,0.44677,482569713,0.53665,80380440,0.542,48528363,0.42517,77181054,0.37442,273061533,0.53004
293079990,0.56887,283165701,0.50723,376079157,0.31715,559704675,0.50587,697277772,0.28855,324764232,0.45076,483922413,0.53954,80693565,0.54322,48631569,0.42532,77207607,0.37572,274524954,0.53056
293323977,0.57422,283726320,0.50873,376498494,0.31821,567704643,0.50094,700660524,0.29082,325187577,0.45235,485793648,0.54405,80949075,0.54292,48738282,0.42504,77431554,0.37536,275088579,0.53632
296461740,0.57075,284274414,0.51158,379416318,0.31726,569979183,0.50387,701790279,0.29274,328125942,0.45167,491345730,0.54347,80981640,0.54402,48913632,0.42481,77858406,0.37453,277271937,0.5365
297878067,0.57193,286601559,0.51252,381398775,0.31691,570402528,0.50585,701866932,0.2946,331913001,0.44923,491823684,0.54793,81633942,0.54259,49215735,0.42273,78445077,0.37226,277479351,0.54048
298795899,0.57233,288785919,0.51433,384939342,0.31609,573688086,0.50733,702697590,0.29528,332491656,0.45071,496562142,0.54617,81818811,0.54394,49473249,0.42094,78661008,0.37241,278054499,0.54326
307232739,0.56027,295401624,0.50687,386768493,0.31547,579958101,0.50455,706296273,0.29542,333584337,0.45051,497157831,0.54933,81903480,0.54593,50045391,0.41793,78841869,0.3732,279282951,0.54478
307289352,0.5633,295960740,0.50923,396820056,0.31052,581108898,0.50525,706543767,0.29763,334346358,0.45226,501891780,0.54752,81938550,0.54763,50205210,0.41771,79518219,0.37097,280353087,0.54881
308611992,0.56539,301003305,0.50402,400372647,0.31079,581858895,0.50864,708815301,0.29875,336241140,0.45245,502427850,0.55129,82241655,0.54764,50238276,0.41873,80036253,0.36964,282158691,0.55083
311983722,0.56116,301161621,0.50759,400565031,0.31225,587705064,0.50721,711214089,0.29964,337062279,0.45373,502728951,0.55495,83248164,0.54394,50353005,0.41828,80167515,0.37005,283871109,0.55126
