TQSORT_ITER,PVFQSORT_ITER,TQSORT,PVFQSORT
815097441,0.5512,631281543,0.53586
818498730,0.55117,637711377,0.53287
820321869,0.55442,642651738,0.53077
830882448,0.5501,648912234,0.52757
833530233,0.55113,654918222,0.52583
839126403,0.55103,661471803,0.52282
840008163,0.5523,663257367,0.52458
843627888,0.55271,664319988,0.52524
844667463,0.5551,665295435,0.52677
845142411,0.55859,673288389,0.52233
850623351,0.55644,683845461,0.51663
853858809,0.55683,686352465,0.51749
876556614,0.54455,687621498,0.51929
878303601,0.54678,694011753,0.51878
879775038,0.54841,695878479,0.52004
887025510,0.54695,697593402,0.52112
899562534,0.54096,699053316,0.52217
902880657,0.54179,714793233,0.51183
905216820,0.54273,728016627,0.50402
911485833,0.543,729718524,0.50671
914580009,0.54395,732661899,0.50718
921362547,0.54272,735974010,0.50769
923189694,0.5438,737948451,0.50864
944981190,0.533,740445435,0.50986
945509745,0.53464,744627783,0.5102
947613444,0.5359,751950900,0.50681
947846409,0.53908,751966932,0.51028
968907948,0.53164,757797069,0.5089
970391910,0.53218,758063100,0.51151
978756105,0.53113,758399271,0.51515
984632835,0.52978,758960391,0.51703
988272600,0.52978,758964399,0.519
989401353,0.53276,760274013,0.51963
992861760,0.53421,761677815,0.52053
1003341177,0.53232,761998455,0.52335
1005774033,0.53332,762952359,0.52452
1012589637,0.5324,766933806,0.52539
1013547048,0.53442,767620176,0.52758
1015035519,0.53613,768985902,0.52979
1017234408,0.53605,774525459,0.52922
1023586587,0.53489,774743895,0.53237
1028144685,0.53526,776347596,0.53512
1034070012,0.53597,776658717,0.53698
1035839544,0.53808,782222823,0.53541
1046164653,0.53685,785377119,0.53498
1046264853,0.53845,786841542,0.53576
1056514812,0.53634,791370081,0.53388
1059529830,0.53633,791427696,0.53574
1061926113,0.53661,792367071,0.53735
1068654042,0.53573,794135601,0.53884
1070613453,0.53606,794344017,0.54151
1072415049,0.53703,794790408,0.54345
1077227655,0.5361,803984259,0.53954
1084191555,0.53417,808016307,0.53906
1086753669,0.53444,808950171,0.5411
1090585818,0.53534,819982692,0.53628
1094082297,0.53567,823057329,0.53603
1097628375,0.53597,835250166,0.53091
